id,bid,正文,头条文章url,原始图片url,视频url,Live Photo视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否编辑过,编辑次数,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博Live Photo视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期,源微博是否编辑过,源微博编辑次数
1054793409825853440,1054793409825853440,https://t.co/kOJbDCoCNU,,,,,,2018-10-23T17:55:20,,70,5,16,,,2018-10-23 17:55:20,False,0,True,,,,,,,,,,,,,,,,,,,,
283293985374605312,283293985374605312,"BAM: The Brain Activity Map is a national grand challenge to record from a million neurons wirelessly, scheduled to launch next year.",,,,,,2012-12-24T19:32:04,,43,2,6,,,2012-12-24 19:32:04,False,0,True,,,,,,,,,,,,,,,,,,,,
17047862385,17047862385,Computational Neurobiology home page is at cnl_salk,,,,,,2010-06-25T22:25:59,,17,2,0,,,2010-06-25 22:25:59,False,0,True,,,,,,,,,,,,,,,,,,,,
